712,26111131,9.4
264,27213200,5.0
579,14650170,2.2
582,11115300,6.2
404,27150151,2.1
143,26117130,7.7
596,27133010,3.3
19,26151130,9.3
728,26109132,4.9
153,11542200,3.2
952,26305120,4.9
912,21302000,2.7
311,22210310,0.1
991,12210430,0.1
187,24208510,4.8
731,11513800,3.2
179,14640004,1.4
254,23201010,5.9
233,24103055,6.3
18,14120010,3.3
628,26153190,8.5
491,27214600,2.8
262,14620110,2.6
725,24201510,9.0
972,11514330,7.8
302,24147301,8.6
277,27150010,9.9
516,13252200,0.9
460,24102050,3.1
587,26303130,4.4
269,11513381,4.9
414,11511700,3.3
596,26131121,7.4
729,27118110,5.0
510,26137170,6.7
395,24201000,0.4
397,21401120,0.8
361,26311160,7.3
294,26155110,8.9
128,21416150,7.7
621,24703000,2.6
310,14640070,7.4
981,27113300,0.2
404,27150020,1.4
424,24198720,7.9
687,27118180,7.2
72,14207010,8.4
213,26113190,4.5
714,26109144,8.4
519,27115000,8.5
120,22411000,5.6
972,11514330,7.6
983,26105110,1.6
291,22201070,2.2
285,26115121,6.5
485,12210210,9.5
989,26127140,1.0
349,23322350,5.1
876,13210290,5.6
800,26119130,0.9
628,26319180,5.2
986,21102130,7.9
786,11320200,9.8
715,23203030,5.3
866,13210110,5.5
151,27111410,0.7
262,27146300,7.9
40,27135150,2.7
647,11440020,9.4
936,24208500,5.7
224,26139110,9.3
993,26141130,6.7
259,26135131,4.3
138,25160110,9.0
712,26109160,9.4
330,11710661,5.5
148,26127122,4.9
515,26107110,5.3
985,27146350,2.8
562,21304000,3.4
456,24102000,7.8
224,13120730,8.4
176,13135010,1.5
178,26315140,9.1
491,27160100,10.0
612,24403100,9.0
254,11514350,1.0
660,24127200,1.4
156,22101150,6.0
85,26157120,7.8
195,13220220,2.6
835,26311110,1.8
189,14640135,6.8
385,24302010,7.9
877,25230610,6.1
738,24143220,4.0
764,26109144,7.2
981,26158032,2.7
435,26303140,0.2
224,26151142,4.9
187,21500310,6.5
891,24133210,7.6
944,24203120,7.8
623,24144301,7.4
243,11000000,0.8
661,21407000,7.3
935,27213100,8.1
69,13120810,8.7
530,14640018,3.8
92,24162140,3.7
275,11710915,4.6
435,25150000,8.9
85,11710631,2.6
518,26157143,3.5
162,11710961,9.8
713,24168031,3.3
515,23410010,3.1
394,14640016,8.4
300,11411200,4.6
88,11370000,3.9
751,26141121,4.6
90,22101020,1.9
938,26305121,6.3
305,22431000,2.0
99,24134151,9.9
797,24152231,6.7
781,26319170,5.4
838,25221210,1.5
800,11432000,4.0
565,27113300,5.5
704,11710368,9.8
981,27160100,9.7
386,23322300,2.3
401,13127010,2.1
677,14104200,2.1
587,24300110,5.3
446,26133130,8.7
383,27211550,5.1
654,11710920,0.4
503,26311180,8.4
181,24147300,1.6
441,26303160,8.4
275,27150030,4.1
511,23310000,8.8
202,26205180,0.2
486,26137110,4.0
6,27120130,7.6
701,26117190,3.3
666,26313100,9.9
241,26319162,3.0
87,11435020,9.5
343,26157132,2.0
253,27150151,10.0
733,13230140,5.3
832,27120110,4.4
140,13140680,7.2
